iter	MultiClass
0	2.154182212
1	1.956284288
2	1.820704896
3	1.695527412
4	1.586197889
5	1.489310272
6	1.401414335
7	1.325650241
8	1.262870622
9	1.198886121
10	1.141294196
11	1.08864051
12	1.042295902
13	0.9975217337
14	0.9547287972
15	0.9142515761
16	0.8737632387
17	0.843385489
18	0.8106674492
19	0.7783496437
20	0.7512755841
21	0.7235402868
22	0.6956263081
23	0.6682343134
24	0.6444234205
25	0.621750133
26	0.6000452855
27	0.5777323798
28	0.5579496486
29	0.5386041919
30	0.5203647731
31	0.5026598249
32	0.4867650138
33	0.4708247954
34	0.4560060106
35	0.4401106198
36	0.4247609402
37	0.4114099209
38	0.3982994886
39	0.385619759
40	0.3738791836
41	0.362027903
42	0.3506404365
43	0.3399530019
44	0.3287593912
45	0.318782528
46	0.3093913054
47	0.3004806837
48	0.2909665606
49	0.2823067437
50	0.2735330534
51	0.265453924
52	0.2577990962
53	0.2499671069
54	0.2423050994
55	0.2352222146
56	0.2285103036
57	0.2220074002
58	0.2153797409
59	0.2094136893
60	0.2032588311
61	0.1979674619
62	0.1925994706
63	0.186917834
64	0.1815515023
65	0.1764936393
66	0.171248526
67	0.1665800025
68	0.1621637177
69	0.1573949413
70	0.153044685
71	0.149122449
72	0.1448014608
73	0.1408949385
74	0.1368080907
75	0.1333562606
76	0.1297385171
77	0.1259965943
78	0.1223642283
79	0.1189036687
80	0.1158688093
81	0.1128261449
82	0.1096985614
83	0.1067865003
84	0.1039198692
85	0.1011509312
86	0.09827001556
87	0.09562453175
88	0.09291786741
89	0.09034279309
90	0.08812144835
91	0.08577009187
92	0.08339990207
93	0.08142147756
94	0.07928924885
95	0.07712541787
96	0.0751386089
97	0.07310550804
98	0.07104708237
99	0.06908439482
100	0.06709346111
101	0.06534886025
102	0.06361119241
103	0.06206816767
104	0.06045848145
105	0.05896764737
106	0.05752777303
107	0.05614876493
108	0.054722199
109	0.05318468375
110	0.05184053323
111	0.05047582778
112	0.04913591962
113	0.04783446865
114	0.04664006049
115	0.04544681702
116	0.04424903092
117	0.04308685333
118	0.0419324451
119	0.04075343027
120	0.03966362731
121	0.03865070848
122	0.03763012798
123	0.03660792625
124	0.03568399271
125	0.03491895813
126	0.03399143136
127	0.03320674301
128	0.0323805388
129	0.03147391403
130	0.03062731043
131	0.02984668684
132	0.02918463838
133	0.02845630075
134	0.0277715119
135	0.02702478789
136	0.02632215414
137	0.0256223724
138	0.02494155815
139	0.02426407182
140	0.02365555074
141	0.02309403657
142	0.02252256263
143	0.02192242501
144	0.02132523963
145	0.02079574161
146	0.02037966445
147	0.01992215207
148	0.01942520263
149	0.01898986784
150	0.0184958709
151	0.01807093974
152	0.01756821559
153	0.01710175628
154	0.01669917212
155	0.01627321475
156	0.01584830354
157	0.01543401828
158	0.01501130913
159	0.01465607267
160	0.01429000045
161	0.0139528886
162	0.01358452494
163	0.01328666828
164	0.01296190154
165	0.01261954624
166	0.01233181601
167	0.01201702697
168	0.01174451126
169	0.01143524071
170	0.01112729075
171	0.01082781586
172	0.01054271077
173	0.01027077185
174	0.01000877009
175	0.009746965673
176	0.009541666522
177	0.009312373409
178	0.009071265828
179	0.008853421736
180	0.00867463064
181	0.008475727096
182	0.008288248575
183	0.008070888449
184	0.00786894484
185	0.007690655693
186	0.007511814733
187	0.007331483929
188	0.007141307237
189	0.006968689115
190	0.006803646563
191	0.006620415981
192	0.006478033972
193	0.006319752486
194	0.006157069694
195	0.006027839407
196	0.005865927781
197	0.005718881482
198	0.0055615886
199	0.005433858434
200	0.005282692053
201	0.005166738324
202	0.005039109481
203	0.004915253193
204	0.004798800075
205	0.004670969219
206	0.004571451505
207	0.004456782984
208	0.004352100242
209	0.004242231615
210	0.00413778632
211	0.004045319454
212	0.003938318559
213	0.003842854865
214	0.003748007539
215	0.003648186485
216	0.003556281636
217	0.003465955895
218	0.00338335585
219	0.003296313177
220	0.003215421381
221	0.003138692563
222	0.003055154628
223	0.002973141516
224	0.00289542834
225	0.002821488628
226	0.002754282292
227	0.002684051098
228	0.002620386498
229	0.00254932489
230	0.002489471746
231	0.002429915158
232	0.002366970846
233	0.002303877037
234	0.002248083752
235	0.00218761475
236	0.002128656534
237	0.002075083556
238	0.002018085727
239	0.001968024037
240	0.001918675274
241	0.001867982431
242	0.001827886743
243	0.00177747519
244	0.001734864768
245	0.001689042697
246	0.001642687467
247	0.001602715346
248	0.001565144498
249	0.001526537002
250	0.001488859946
251	0.00145065521
252	0.001413283429
253	0.001379365732
254	0.001342038599
255	0.001310490528
256	0.001281835243
257	0.00125143489
258	0.001217010431
259	0.001186834792
260	0.001159110421
261	0.001129032411
262	0.001098360644
263	0.001068359074
264	0.001039199874
265	0.001012372155
266	0.0009870551704
267	0.0009617444041
268	0.0009365066281
269	0.0009112241573
270	0.000887749377
271	0.0008630438691
272	0.0008407244841
273	0.0008172923239
274	0.0007985601125
275	0.0007789755241
276	0.0007574829808
277	0.0007391384822
278	0.0007194520387
279	0.0006998033423
280	0.0006830133389
281	0.0006648036998
282	0.0006473586871
283	0.0006321559959
284	0.000614564925
285	0.0005976733956
286	0.0005828067316
287	0.0005671641047
288	0.0005572797166
289	0.0005434119495
290	0.0005308693127
291	0.0005172809839
292	0.0005034257086
293	0.0004914280501
294	0.0004780054764
295	0.0004660922389
296	0.0004591913174
297	0.0004473308585
298	0.000437205982
299	0.0004267576074
300	0.0004166008413
301	0.0004056419651
302	0.0003946011411
303	0.000387933654
304	0.0003776924372
305	0.00037109487
306	0.0003615073746
307	0.0003526265038
308	0.000344139978
309	0.0003377946257
310	0.0003285152911
311	0.0003199342837
312	0.0003121151226
313	0.0003046484372
314	0.0002969953785
315	0.0002889231
316	0.0002814837371
317	0.0002741407454
318	0.0002676719118
319	0.0002607714275
320	0.0002540701709
321	0.0002475770682
322	0.0002434231233
323	0.0002366917713
324	0.0002302883603
325	0.0002248395007
326	0.0002189304253
327	0.0002133784212
328	0.0002075872932
329	0.0002023961766
330	0.0001969771046
331	0.0001920616282
332	0.0001870163927
333	0.0001819742699
334	0.0001769896725
335	0.0001721758259
336	0.0001675124686
337	0.0001652318364
338	0.0001610104656
339	0.0001568219333
340	0.0001526544713
341	0.0001487731864
342	0.0001451819245
343	0.0001414419611
344	0.0001381403001
345	0.000134426988
346	0.0001311357265
347	0.0001279700369
348	0.0001248930946
349	0.0001214474243
350	0.0001180844298
351	0.0001151596415
352	0.00011222511
353	0.0001096196613
354	0.0001069199997
355	0.000104859984
356	0.0001026454149
357	0.000100178098
358	9.771989019e-05
359	9.540437105e-05
360	9.32775937e-05
361	9.201169639e-05
362	9.012274992e-05
363	8.820739724e-05
364	8.595527572e-05
365	8.366897996e-05
366	8.191533458e-05
367	8.014538945e-05
368	7.828805938e-05
369	7.618459277e-05
370	7.429885361e-05
371	7.244266101e-05
372	7.069661721e-05
373	6.883303241e-05
374	6.698737161e-05
375	6.526544309e-05
376	6.377532773e-05
377	6.238954365e-05
378	6.128546907e-05
379	5.979888539e-05
380	5.821629004e-05
381	5.685286609e-05
382	5.56021483e-05
383	5.428062208e-05
384	5.284034461e-05
385	5.166523861e-05
386	5.043735917e-05
387	4.938393846e-05
388	4.819220038e-05
389	4.689867902e-05
390	4.564553118e-05
391	4.450651862e-05
392	4.333833676e-05
393	4.226318024e-05
394	4.133274568e-05
395	4.023620172e-05
396	3.933668886e-05
397	3.863012239e-05
398	3.760292552e-05
399	3.68044453e-05
400	3.582763604e-05
401	3.499031614e-05
402	3.405729262e-05
403	3.315396679e-05
404	3.24026459e-05
405	3.155961278e-05
406	3.093924492e-05
407	3.023941323e-05
408	2.976672496e-05
409	2.905523994e-05
410	2.830613874e-05
411	2.76474197e-05
412	2.712107312e-05
413	2.643537029e-05
414	2.57561175e-05
415	2.510867749e-05
416	2.445684586e-05
417	2.3883848e-05
418	2.336622368e-05
419	2.281860483e-05
420	2.229759412e-05
421	2.173252047e-05
422	2.127876347e-05
423	2.074727272e-05
424	2.029601597e-05
425	1.977836207e-05
426	1.934282578e-05
427	1.892514926e-05
428	1.845102437e-05
429	1.796909841e-05
430	1.750985638e-05
